-------------------------------------------------------------------------
Stop Condition       : 30 votes
Max of Voters        : 10 threads
PollStation Capacity : 5 places
-------------------------------------------------------------------------
Probabilities:
   - PARTY A wins              : 70%
   - Voter being chosen        : 50%
   - Voter answers             : 60%
   - Voter lies on survey      : 20%
   - Voter reborn a new ID     : 60%
-------------------------------------------------------------------------
LABEL:
   - IDCheck:
      - ✔ : voter checked for voting
      - ✖ : voter already voted
   - Voting:
      - Voter (A | B)  : refers to the Vote of the voter
   - Survey:
      - Voter L : voter lied on survey
-------------------------------------------------------------------------
| PollStation | Waiting | Inside | IDCheck | Voting | ExitPoll | Survey |
|             |         |        |  V26 ✔  |        |          |        |
|             |         |        |  V5  ✖  |        |          |        |
|             |         |        |         |        |   V5     |        |
|             |         |  V157  |         |        |          |        |
|             |   V5    |        |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V5    |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V8  ✖  |        |          |        |
|             |         |        |         |        |   V8     |        |
|             |         |  V32   |         |        |          |        |
|             |   V121  |        |         |        |          |        |
|             |         |        |  V157✖  |        |          |        |
|             |         |        |         |        |   V157   |        |
|             |         |  V121  |         |        |          |        |
|             |         |        |         |        |          |  V157  |
|             |         |        |  V3  ✖  |        |          |        |
|             |         |        |         |        |   V3     |        |
|             |         |  V145  |         |        |          |        |
|             |         |        |         |        |          |  V3    |
|             |   V86   |        |         |        |          |        |
|             |         |        |  V32 ✔  |        |          |        |
|             |         |        |         |  V26 B |          |        |
|             |         |        |         |        |   V26    |        |
|             |         |  V2    |         |        |          |        |
|             |   V39   |        |         |        |          |        |
|             |         |        |  V5  ✖  |        |          |        |
|             |         |        |         |        |   V5     |        |
|             |         |  V86   |         |        |          |        |
|             |         |        |         |        |          |  V5  L |
|             |   V157  |        |         |        |          |        |
|             |   V147  |        |         |        |          |        |
|             |         |        |  V145✔  |        |          |        |
|             |         |        |  V121✔  |        |          |        |
|             |         |        |  V86 ✖  |        |          |        |
|             |         |        |         |        |   V86    |        |
|             |         |  V39   |         |        |          |        |
|             |   V63   |        |         |        |          |        |
|             |         |        |  V2  ✖  |        |          |        |
|             |         |        |         |        |   V2     |        |
|             |         |  V63   |         |        |          |        |
|             |         |        |         |        |          |  V2    |
|             |   V0    |        |         |        |          |        |
|             |         |        |         |  V32 A |          |        |
|             |         |        |         |        |   V32    |        |
|             |         |  V157  |         |        |          |        |
|             |         |        |         |        |          |  V32   |
|             |         |        |         |  V121B |          |        |
|             |         |        |         |        |   V121   |        |
|             |         |  V0    |         |        |          |        |
|             |   V121  |        |         |        |          |        |
|             |   V32   |        |         |        |          |        |
|             |         |        |  V39 ✔  |        |          |        |
|             |         |        |  V63 ✔  |        |          |        |
|             |         |        |         |  V145A |          |        |
|             |         |        |         |        |   V145   |        |
|             |         |  V121  |         |        |          |        |
|             |   V49   |        |         |        |          |        |
|             |   V29   |        |         |        |          |        |
|             |         |        |  V157✖  |        |          |        |
|             |         |        |         |        |   V157   |        |
|             |         |  V32   |         |        |          |        |
|             |         |        |         |        |          |  V157  |
|             |         |        |         |  V39 A |          |        |
|             |         |        |         |        |   V39    |        |
|             |         |  V147  |         |        |          |        |
|             |         |        |         |        |          |  V39 L |
|             |         |        |  V121✖  |        |          |        |
|             |         |        |         |        |   V121   |        |
|             |         |  V4    |         |        |          |        |
|             |   V121  |        |         |        |          |        |
|             |         |        |  V0  ✔  |        |          |        |
|             |         |        |         |  V63 A |          |        |
|             |         |        |         |        |   V63    |        |
|             |         |  V49   |         |        |          |        |
|             |   V19   |        |         |        |          |        |
|             |         |        |  V32 ✖  |        |          |        |
|             |         |        |         |        |   V32    |        |
|             |         |  V29   |         |        |          |        |
|             |         |        |         |        |          |  V32   |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V19   |         |        |          |        |
|             |   V163  |        |         |        |          |        |
|             |         |        |  V29 ✔  |        |          |        |
|             |         |        |  V49 ✔  |        |          |        |
|             |         |        |  V147✔  |        |          |        |
|             |         |        |         |  V0  A |          |        |
|             |         |        |         |        |   V0     |        |
|             |         |  V121  |         |        |          |        |
|             |         |        |         |        |          |  V0    |
|             |   V45   |        |         |        |          |        |
|             |   V147  |        |         |        |          |        |
|             |         |        |  V121✖  |        |          |        |
|             |         |        |         |        |   V121   |        |
|             |         |  V45   |         |        |          |        |
|             |         |        |         |        |          |  V121  |
|             |         |        |  V19 ✔  |        |          |        |
|             |   V0    |        |         |        |          |        |
|             |         |        |         |  V49 A |          |        |
|             |         |        |         |        |   V49    |        |
|             |         |  V163  |         |        |          |        |
|             |   V163  |        |         |        |          |        |
|             |   V81   |        |         |        |          |        |
|             |         |        |         |  V147B |          |        |
|             |         |        |         |        |   V147   |        |
|             |         |  V163  |         |        |          |        |
|             |         |        |         |        |          |  V147L |
|             |         |        |  V45 ✔  |        |          |        |
|             |         |        |         |  V29 B |          |        |
|             |         |        |         |        |   V29    |        |
|             |         |  V0    |         |        |          |        |
|             |         |        |         |        |          |  V29 L |
|             |   V112  |        |         |        |          |        |
|             |         |        |  V0  ✖  |        |          |        |
|             |         |        |         |        |   V0     |        |
|             |         |  V112  |         |        |          |        |
|             |   V0    |        |         |        |          |        |
|             |         |        |         |  V19 B |          |        |
|             |         |        |         |        |   V19    |        |
|             |         |  V147  |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V163✔  |        |          |        |
|             |         |        |  V163✖  |        |          |        |
|             |         |        |         |        |   V163   |        |
|             |         |  V0    |         |        |          |        |
|             |         |        |         |  V45 A |          |        |
|             |         |        |         |        |   V45    |        |
|             |         |  V4    |         |        |          |        |
|             |   V70   |        |         |        |          |        |
|             |   V195  |        |         |        |          |        |
|             |   V29   |        |         |        |          |        |
|             |         |        |  V112✔  |        |          |        |
|             |         |        |  V0  ✖  |        |          |        |
|             |         |        |         |        |   V0     |        |
|             |         |  V81   |         |        |          |        |
|             |   V0    |        |         |        |          |        |
|             |         |        |         |  V163A |          |        |
|             |         |        |         |        |   V163   |        |
|             |         |  V195  |         |        |          |        |
|             |   V1    |        |         |        |          |        |
|             |         |        |  V147✖  |        |          |        |
|             |         |        |         |        |   V147   |        |
|             |         |  V70   |         |        |          |        |
|             |   V78   |        |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V29   |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |         |  V112A |          |        |
|             |         |        |         |        |   V112   |        |
|             |         |  V4    |         |        |          |        |
|             |         |        |         |        |          |  V112L |
|             |         |        |  V81 ✔  |        |          |        |
|             |         |        |  V195✔  |        |          |        |
|             |         |        |  V70 ✔  |        |          |        |
|             |         |        |         |  V81 A |          |        |
|             |         |        |         |        |   V81    |        |
|             |         |  V0    |         |        |          |        |
|             |   V81   |        |         |        |          |        |
|             |         |        |  V29 ✖  |        |          |        |
|             |         |        |         |        |   V29    |        |
|             |         |  V81   |         |        |          |        |
|             |   V128  |        |         |        |          |        |
|             |   V112  |        |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V128  |         |        |          |        |
|             |         |        |         |        |          |  V4    |
|             |         |        |  V81 ✖  |        |          |        |
|             |         |        |         |        |   V81    |        |
|             |         |  V78   |         |        |          |        |
|             |         |        |         |        |          |  V81   |
|             |         |        |  V0  ✖  |        |          |        |
|             |         |        |         |        |   V0     |        |
|             |         |  V1    |         |        |          |        |
|             |   V154  |        |         |        |          |        |
|             |         |        |         |  V70 A |          |        |
|             |         |        |         |        |   V70    |        |
| CLOSED      |         |        |         |        |          |        |
|             |         |        |  V128✔  |        |          |        |
|             |         |        |         |  V195A |          |        |
|             |         |        |         |        |   V195   |        |
|             |         |        |         |  V128A |          |        |
|             |         |        |         |        |   V128   |        |
|             |         |        |         |        |          |  V128  |
|             |         |        |  V1  ✖  |        |          |        |
|             |         |        |         |        |   V1     |        |
|             |         |        |  V78 ✔  |        |          |        |
|             |         |        |         |  V78 A |          |        |
