-------------------------------------------------------------------------
Stop Condition       : 20 votes
Max of Voters        : 10 threads
PollStation Capacity : 5 places
-------------------------------------------------------------------------
Probabilities:
   - PARTY A wins              : 70%
   - Voter being chosen        : 50%
   - Voter answers             : 60%
   - Voter lies on survey      : 20%
   - Voter reborn a new ID     : 60%
-------------------------------------------------------------------------
LABEL:
   - IDCheck:
      - ✔ : voter checked for voting
      - ✖ : voter already voted
   - Voting:
      - Voter (A | B)  : refers to the Vote of the voter
   - Survey:
      - Voter L : voter lied on survey
-------------------------------------------------------------------------
| PollStation | Waiting | Inside | IDCheck | Voting | ExitPoll | Survey |
|             |         |        |  V174✔  |        |          |        |
|             |         |        |  V20 ✖  |        |          |        |
|             |         |        |         |        |   V20    |        |
|             |         |  V195  |         |        |          |        |
|             |   V20   |        |         |        |          |        |
|             |   V18   |        |         |        |          |        |
|             |         |        |         |  V97 A |          |        |
|             |         |  V19   |         |        |          |        |
|             |         |        |         |        |   V97    |        |
|             |   V15   |        |         |        |          |        |
|             |         |        |         |  V156B |          |        |
|             |         |        |         |        |   V156   |        |
|             |         |  V123  |         |        |          |        |
|             |   V16   |        |         |        |          |        |
|             |         |        |         |  V44 B |          |        |
|             |         |        |         |        |   V44    |        |
|             |         |  V16   |         |        |          |        |
|             |   V132  |        |         |        |          |        |
|             |         |        |  V195✔  |        |          |        |
|             |         |        |         |  V174A |          |        |
|             |         |        |         |        |   V174   |        |
|             |         |  V15   |         |        |          |        |
|             |   V69   |        |         |        |          |        |
|             |         |        |  V19 ✔  |        |          |        |
|             |         |        |  V15 ✔  |        |          |        |
|             |         |        |  V123✔  |        |          |        |
|             |         |        |  V16 ✔  |        |          |        |
|             |         |        |         |  V195B |          |        |
|             |         |        |         |        |   V195   |        |
| CLOSED      |         |        |         |        |          |        |
|             |         |        |         |  V19 A |          |        |
|             |         |        |         |        |   V19    |        |
|             |         |        |         |        |          |  V19   |
|             |         |        |         |  V123A |          |        |
|             |         |        |         |        |   V123   |        |
|             |         |        |         |  V15 A |          |        |
|             |         |        |         |        |   V15    |        |
|             |         |        |         |  V16 A |          |        |
|             |         |        |         |        |   V16    |        |
-------------------------------------------------------------------------


----------------------| SURVEY RESULTS
Total votes for A: 2
Total votes for B: 2
 SURVEY WINNER -> TIE
----------------------

----------------------| ELECTION RESULTS
Total votes for A: 17
Total votes for B: 7
  WINNER  🏆🏆 -> A
----------------------
